,stop_id,name,lat,lon
153,11926,Erindale Ave At Broadview Ave East Side,43.6773799,-79.35822
154,14357,70 Island Rd,43.7974799,-79.14105
155,8350,Thorncliffe Park Dr At Milepost Pl,43.7032999,-79.3469299
156,9568,Nugget Ave At Transfer Pl,43.7978999,-79.24452
157,14690,Finch Station,43.7811099,-79.41506
158,3871,Jane St At Chalkfarm Dr (South) South Side,43.7246299,-79.5096899
159,4509,Old Weston Rd At St Clair Ave West North Side,43.6739499,-79.46306
160,8183,St Clair Ave West At Silverthorn Ave,43.67433,-79.4598999
161,0611,55 Bridgeland Ave,43.7263399,-79.46027
162,7511,Barmac Dr At Ormont Dr,43.7644599,-79.5533799
163,7309,Sherbourne St At Bloor St East (Sherbourne Station),43.6721599,-79.3766499
164,10763,Dovercourt Rd At Geary Ave North Side,43.6710799,-79.43322
165,4331,Kipling Ave At Kidron Valley Dr,43.7560799,-79.5880599
166,15737,The Westway At Callowhill Dr East Side,43.6839999,-79.56382
167,7987,Moore Ave At Lumley Ave,43.69573,-79.3764599
168,0100,Bathurst St At Fort York Blvd,43.6389499,-79.4007699
169,14783,St Clair West Station,43.6843699,-79.41525
170,2300,Eglinton Ave East At Pharmacy Ave,43.7258599,-79.29717
171,6711,Pharmacy Ave At Huntingdale Blvd,43.79625,-79.32702
172,1863,Danforth Rd At Landry Ave,43.6947999,-79.27624
173,15670,Opposite 9690 Markham Rd,43.9022399,-79.2662999
174,0235,Bay St At Bloor St West (Bay Station),43.67001,-79.38972
175,15622,Canarctic Dr At Petrolia Rd,43.77616,-79.4891099
176,3522,Dundas St West At Scarlett Rd,43.66563,-79.4991099
177,14988,Staines Rd At Boulderbrook Dr,43.8330399,-79.2249599
178,8447,Victoria Park Ave At Dawes Rd South Side,43.7062099,-79.29498
179,4402,Lansdowne Ave At Dupont St,43.66687,-79.44661
180,1942,Don Mills Rd At Green Belt Dr North Side,43.7274899,-79.3406199
181,15069,1103 Leslie St,43.72073,-79.3495799
182,9159,1121 Leslie St,43.7223299,-79.34897
183,9383,Eglinton Ave West At Weston Rd,43.68671,-79.4899199
184,2675,Guildwood Pkwy At Chancery Lane,43.74836,-79.1957299
185,1329,Midland Ave At St Clair Ave East,43.71843,-79.25102
186,14771,Sheppard-Yonge Station,43.7618899,-79.41239
187,13642,Markham Rd At Robinson St,43.8777399,-79.2606899
188,8114,Sloane Ave At Wigmore Dr,43.7324699,-79.3104599
189,3685,Greenwood Ave At Queen St East,43.66448,-79.32543
190,1728,Bayview Ave At Millwood Rd,43.7041499,-79.37445
191,7095,Scarlett Rd At Lawrence Ave West South Side,43.69775,-79.5229
192,0942,Davenport Rd At Lansdowne Ave,43.6713999,-79.44881
193,4199,2665 Kingston Rd East Side,43.7159199,-79.24278
194,2003,Driftwood Ave At Jane St East Side,43.7659599,-79.51908
195,0071,Avenue Rd At St Clair Ave West,43.68674,-79.40173
196,13902,Sheppard Ave East At Opposite Walkway To Murison Blvd,43.8012799,-79.20352
197,11511,Murrary Ross Pkwy At Steeles Ave West South Side,43.7758399,-79.5169
